11;Rondônia;RO;Região Norte;52;11'RO';;;
12;Acre;AC;Região Norte;22;12'AC';;;
13;Amazonas;AM;Região Norte;62;13'AM';;;
14;Roraima;RR;Região Norte;15;14'RR';;;
15;Pará;PA;Região Norte;144;15'PA';;;
16;Amapá;AP;Região Norte;16;16'AP';;;
17;Tocantins;TO;Região Norte;139;17'TO';;;
21;Maranhão;MA;Região Nordeste;217;21'MA';;;
22;Piauí;PI;Região Nordeste;224;22'PI';;;
23;Ceará;CE;Região Nordeste;184;23'CE';;;
24;Rio Grande do Norte;RN;Região Nordeste;167;24'RN';;;
25;Paraíba;PB;Região Nordeste;223;25'PB';;;
26;Pernambuco;PE;Região Nordeste;185;26'PE';;;
27;Alagoas;AL;Região Nordeste;102;27'AL';;;
28;Sergipe;SE;Região Nordeste;75;28'SE';;;
29;Bahia;BA;Região Nordeste;417;29'BA';;;
31;Minas Gerais;MG;Região Sudeste;853;31'MG';;;
32;Espírito Santo;ES;Região Sudeste;78;32'ES';;;
33;Rio de Janeiro;RJ;Região Sudeste;92;33'RJ';;;
35;São Paulo;SP;Região Sudeste;645;35'SP';;;
41;Paraná;PR;Região Sul;399;41'PR';;;
42;Santa Catarina;SC;Região Sul;295;42'SC';;;
43;Rio Grande do Sul;RS;Região Sul;497;43'RS';;;
50;Mato Grosso do Sul;MS;Região Centro-Oeste;79;50'MS';;;
51;Mato Grosso;MT;Região Centro-Oeste;141;51'MT';;;
52;Goiás;GO;Região Centro-Oeste;246;52'GO';;;
53;Distrito Federal;DF;Região Centro-Oeste;1;53'DF';;;
